id,content,my_topic,llm_topic,human_set,llm_set,jaccard,human_tag_coverage
ADR_045,# 10. feat-ci-cd-with-circleci  # 8. feat-about-cicd  Date: 2020-02-20  ## Status  Draft  ## Context,"infrastructure_and_deployment, technology_choice","infrastructure_and_deployment, technology_choice","{'technology_choice', 'infrastructure_and_deployment'}","{'technology_choice', 'infrastructure_and_deployment'}",1.0,1.0
ADR_046,# Fonts  ## Decision  Prefer system fonts otherwise use variable fonts.  ```css @font-face {  font,others,performance_and_scalability,{'others'},{'performance_and_scalability'},0.0,0.0
ADR_047,# Determine How to Display All Facilities on the Map  ## Context  The Open Apparel Registry currentl,api_and_contracts,"performance_and_scalability, architecture_patterns, technology_choice",{'api_and_contracts'},"{'performance_and_scalability', 'technology_choice', 'architecture_patterns'}",0.0,0.0
ADR_048,# Testing library  ## Context  * We want to write programmer tests to support a TDD workflow. * We w,"testing_strategy, technology_choice","technology_choice, testing_strategy","{'testing_strategy', 'technology_choice'}","{'testing_strategy', 'technology_choice'}",1.0,1.0
ADR_049,# 2. Use Amazon Aurora Serverless for ephemeral environments  Date: 2020-02-14  ## Status  Accepted ,"data_persistence, technology_choice","data_persistence, infrastructure_and_deployment, performance_and_scalability","{'data_persistence', 'technology_choice'}","{'performance_and_scalability', 'data_persistence', 'infrastructure_and_deployment'}",0.25,0.5
ADR_050,--- sidebar_position: 5 --- # Workflowitem-ordering  Date: 04/05/2018  ## Status  Draft  ## Context ,others,"data_persistence, architecture_patterns",{'others'},"{'architecture_patterns', 'data_persistence'}",0.0,0.0
ADR_051,# 9. Use JPA  Date: 2017-12-27  ## Status  Accepted  Amends [8. Database](0008-database.md)  ## Cont,"technology_choice, data_persistence","data_persistence, technology_choice","{'data_persistence', 'technology_choice'}","{'data_persistence', 'technology_choice'}",1.0,1.0
ADR_052,# ADR 001: Storage Consolidation  ## Changelog * 10-12-2019: Initial Draft * 11-12-2019: Extra comme,"data_persistence, microservices_and_modularity","data_persistence, microservices_and_modularity, security","{'microservices_and_modularity', 'data_persistence'}","{'microservices_and_modularity', 'data_persistence', 'security'}",0.6666666666666666,1.0
ADR_053,# 3. we test via visual screenshots  date: 2018-01-25  ## status  accepted  ## context  how to test ,testing_strategy,testing_strategy,{'testing_strategy'},{'testing_strategy'},1.0,1.0
ADR_054,# 1. Use Terraform across multiple AWS accounts  **Date:** 2020-02-20  The actual decision was made ,"technology_choice, infrastructure_and_deployment","infrastructure_and_deployment, security, governance_and_process","{'technology_choice', 'infrastructure_and_deployment'}","{'governance_and_process', 'security', 'infrastructure_and_deployment'}",0.25,0.5
ADR_055,# 3. Stop recording architecture decisions  Date: 2021-01-16  ## Status  Accepted  Supercedes [1. Re,governance_and_process,governance_and_process,{'governance_and_process'},{'governance_and_process'},1.0,1.0
ADR_056,"--- layout: page status: accepted adr: ""0000"" title: Use Markdown Architectural Decision Records dec",governance_and_process,governance_and_process,{'governance_and_process'},{'governance_and_process'},1.0,1.0
ADR_057,# 5. use-brakeman-for-security-analysis  Date: 2020-04-03  ## Status  Accepted  ## Context  We need ,"security, technology_choice","security, testing_strategy","{'technology_choice', 'security'}","{'testing_strategy', 'security'}",0.33,0.5
ADR_058,# Isolating payment content with third-party widgets from general account management  * Deciders: Be,api_and_contracts,"security, microservices_and_modularity, infrastructure_and_deployment",{'api_and_contracts'},"{'microservices_and_modularity', 'infrastructure_and_deployment', 'security'}",0.0,0.0
ADR_059,# 17. Implement Architecture Tests  Date: 2019-11-16  ## Status  Accepted  ## Context  In some cases,"testing_strategy, technology_choice","testing_strategy, governance_and_process","{'testing_strategy', 'technology_choice'}","{'testing_strategy', 'governance_and_process'}",0.33,0.5
ADR_060,# Tool for CI/CD  ## Issue  We would like to have a tool for allowing our ci/cd process.  ## Decisi,"infrastructure_and_deployment, technology_choice","infrastructure_and_deployment, technology_choice","{'technology_choice', 'infrastructure_and_deployment'}","{'technology_choice', 'infrastructure_and_deployment'}",1.0,1.0
ADR_061,# 43. Avoid ElasticSearch on critical reads  Date: 2020-11-11  ## Status  Accepted (lazy consensus) ,data_persistence,"data_persistence, architecture_patterns, performance_and_scalability",{'data_persistence'},"{'performance_and_scalability', 'architecture_patterns', 'data_persistence'}",0.33,1.0
ADR_062,# 21. Messages are in JSON format  Date: 2020-09-21  ## Status  Accepted  Implements [16. Pub/Sub im,api_and_contracts,"api_and_contracts, technology_choice",{'api_and_contracts'},"{'api_and_contracts', 'technology_choice'}",0.5,1.0
ADR_063,# 3. Test Distributed Files Only  Date: 2021-02-08  ## Status  Accepted  Relates [2. Use Google Clos,testing_strategy,testing_strategy,{'testing_strategy'},{'testing_strategy'},1.0,1.0
ADR_064,# 10. JPA manages schema  Date: 2017-12-27  ## Status  Accepted  Amends [8. Database](0008-database.,data_persistence,"data_persistence, governance_and_process",{'data_persistence'},"{'governance_and_process', 'data_persistence'}",0.5,1.0
ADR_065,# 2. repo naming conventions  Date: 2021-02-01  ## Status  Accepted  ## Context  We feel the need to,governance_and_process,governance_and_process,{'governance_and_process'},{'governance_and_process'},1.0,1.0
ADR_066,# 31. Distributed Mail Queue  Date: 2020-04-13  ## Status  Accepted (lazy consensus)  ## Context  Ma,"technology_choice, data_persistence, microservices_and_modularity","data_persistence, architecture_patterns, performance_and_scalability","{'microservices_and_modularity', 'data_persistence', 'technology_choice'}","{'performance_and_scalability', 'architecture_patterns', 'data_persistence'}",0.2,0.33
ADR_067,# Do not base on any tex image  ## Context and Problem Statement  The Docker image can be made from ,governance_and_process,"infrastructure_and_deployment, technology_choice",{'governance_and_process'},"{'technology_choice', 'infrastructure_and_deployment'}",0.0,0.0
ADR_068,# Track attribute changes through time for basepaths  21-09-2018  ## Context:  The Data Warehouse tr,others,"data_persistence, architecture_patterns",{'others'},"{'architecture_patterns', 'data_persistence'}",0.0,0.0
ADR_069,# No support for local git source clones  A user wants to edit source files locally in his favourite,others,"governance_and_process, architecture_patterns",{'others'},"{'governance_and_process', 'architecture_patterns'}",0.0,0.0
ADR_070,# 8. Use styled-jsx  Date: 2019-10-10  ## Status  Accepted  ## Context  We want to be able to style ,technology_choice,"technology_choice, architecture_patterns",{'technology_choice'},"{'architecture_patterns', 'technology_choice'}",0.5,1.0
ADR_071,# Add contact HMRC and Welsh information links to standard footer  * Status: accepted * Date: 2020-1,others,"governance_and_process, architecture_patterns",{'others'},"{'governance_and_process', 'architecture_patterns'}",0.0,0.0
ADR_072,"# 17. Preservation Strategy  Date: 2019-10-11  ## Status  Accepted  ## Context  Having a ""preservati",others,"data_persistence, infrastructure_and_deployment, observability",{'others'},"{'observability', 'data_persistence', 'infrastructure_and_deployment'}",0.0,0.0
ADR_073,# Miscellaneous small decisions  * Status: accepted * Date: 2020-04-14  ## Context and Problem State,others,"data_persistence, performance_and_scalability, observability",{'others'},"{'observability', 'performance_and_scalability', 'data_persistence'}",0.0,0.0
ADR_074,# 1. Use ImmutableJS for immutability  Date: 15/06/2016  ## Status  Accepted  ## Context  The cost o,technology_choice,"performance_and_scalability, technology_choice",{'technology_choice'},"{'performance_and_scalability', 'technology_choice'}",0.5,1.0
ADR_075,# Use NX  - Status: accepted - Deciders: devs - Date: 03.05.2020  ## Context and Problem Statement  ,"technology_choice, infrastructure_and_deployment","governance_and_process, infrastructure_and_deployment, technology_choice","{'technology_choice', 'infrastructure_and_deployment'}","{'governance_and_process', 'technology_choice', 'infrastructure_and_deployment'}",0.6666666666666666,1.0
ADR_076,# Datepicker component  | Status  | proposed  | | --- | -- | | **Proposed**  | 25/11/2019  | | **A,technology_choice,"technology_choice, governance_and_process",{'technology_choice'},"{'governance_and_process', 'technology_choice'}",0.5,1.0
ADR_077,# 2. Implement in Go  Date: 2016-03-02  ## Status  Accepted  ## Context  Edward will be provided as ,technology_choice,technology_choice,{'technology_choice'},{'technology_choice'},1.0,1.0
ADR_078,# 0000 - Architecture Documentation  ## Context We need a way to document major architecture decisio,governance_and_process,governance_and_process,{'governance_and_process'},{'governance_and_process'},1.0,1.0
ADR_079,# ADR024: Soft Multi-tenancy  ## Status  Accepted  ## Context  One Programme has many Service Teams.,microservices_and_modularity,"infrastructure_and_deployment, architecture_patterns",{'microservices_and_modularity'},"{'architecture_patterns', 'infrastructure_and_deployment'}",0.0,0.0
ADR_080,# 2. Use ES2016 Modules  Date: 2017-12-01  ## Status  Accepted  ## Context  ES2016 introduced native,technology_choice,"microservices_and_modularity, technology_choice",{'technology_choice'},"{'microservices_and_modularity', 'technology_choice'}",0.5,1.0
ADR_081,# 10. use lihaoyi's autowire  Date: 31/06/2016  ## Status  Accepted  ## Context  We've got a Single ,technology_choice,"api_and_contracts, technology_choice",{'technology_choice'},"{'api_and_contracts', 'technology_choice'}",0.5,1.0
ADR_082,# 9. Develop admin tool as SPA  Date: 2021-01-11  ## Status  Accepted  ## Context  As part of the fu,architectural_patterns,"architecture_patterns, technology_choice, api_and_contracts",{'architectural_patterns'},"{'architecture_patterns', 'api_and_contracts', 'technology_choice'}",0.0,0.0
ADR_083,# 6. SVN 迁移至 Git  Date: 06/04/2017  ## Status  Accepted  ## Context  当前我们用的是 SVN 做代码、产品文档、UI 设计图的管理，,technology_choice,"governance_and_process, technology_choice",{'technology_choice'},"{'governance_and_process', 'technology_choice'}",0.5,1.0
ADR_084,# 16. ingest-pipeline-spec  Date: 2019-09-17  ## Status  Accepted  ## Context  Per [issue #1104](htt,others,"architecture_patterns, governance_and_process",{'others'},"{'governance_and_process', 'architecture_patterns'}",0.0,0.0
ADR_085,# 3. use-dotenv-for-managing-environment-variables  Date: 2019-09-19  ## Status  Accepted  ## Contex,technology_choice,"technology_choice, testing_strategy, governance_and_process",{'technology_choice'},"{'testing_strategy', 'governance_and_process', 'technology_choice'}",0.33,1.0
ADR_086,--- sidebar_position: 1 ---  # Record architecture decisions  Date: 03/04/2018  ## Status  Accepted ,governance_and_process,governance_and_process,{'governance_and_process'},{'governance_and_process'},1.0,1.0
ADR_087,# 2. Matching Adyen Notification with commercetools payment.  Date: 2020-12-18  ## Status  [Deprecat,others,"data_persistence, performance_and_scalability, security",{'others'},"{'performance_and_scalability', 'data_persistence', 'security'}",0.0,0.0
ADR_088,# 3. write help file  Date: 2018-09-17  ## Status  Superceded by [4. Generate Help file](0004-genera,others,others,{'others'},{'others'},1.0,1.0
ADR_089,# Which API Spec to use  Going to try an use some kind of spec standard to define and generate the a,technology_choice,"api_and_contracts, technology_choice",{'technology_choice'},"{'api_and_contracts', 'technology_choice'}",0.5,1.0
ADR_090,# Issue Paths  ## Status: ?  ## Context  The editions lambda needs to be able to identify specific v,infrastructure_and_deployment,"infrastructure_and_deployment, api_and_contracts",{'infrastructure_and_deployment'},"{'api_and_contracts', 'infrastructure_and_deployment'}",0.5,1.0
ADR_091,Do not use a callback in the public API ===  Context ---  In 0001 it was decided to use a callback t,api_and_contracts,"api_and_contracts, architecture_patterns",{'api_and_contracts'},"{'architecture_patterns', 'api_and_contracts'}",0.5,1.0
ADR_092,# 2. Store pixel art in Github repository  Date: 2020-11-06  ## Status  Accepted  ## Context  I've r,technology_choice,"data_persistence, technology_choice",{'technology_choice'},"{'data_persistence', 'technology_choice'}",0.5,1.0
ADR_093,# 54. Coding guidelines  Date: 2020-09-21  ## Status  Accepted  Implements [4. Create software defin,governance_and_process,governance_and_process,{'governance_and_process'},{'governance_and_process'},1.0,1.0
ADR_094,# 9. Use Cloud Init to build Prometheus Server  Date: 2018-08-15  ## Status  Accepted  ## Context  T,"technology_choice, infrastructure_and_deployment",infrastructure_and_deployment,"{'technology_choice', 'infrastructure_and_deployment'}",{'infrastructure_and_deployment'},0.5,0.5
ADR_095,# 1. Record architecture decisions  Date: 15/05/2017  ## Status  Accepted  ## Context  We need to re,governance_and_process,governance_and_process,{'governance_and_process'},{'governance_and_process'},1.0,1.0
ADR_096,# Use Prettier-ESLint Airbnb for the code style  - Status: accepted - Date: 2020-09-25  ## Context a,technology_choice,governance_and_process,{'technology_choice'},{'governance_and_process'},0.0,0.0
ADR_097,# Process for creating parallel development streams  * Status: Rejected  <!-- optional -->  ## Cont,governance_and_process,governance_and_process,{'governance_and_process'},{'governance_and_process'},1.0,1.0
ADR_098,# ADR 1: Create Hybrid Tech Radar  ## Context  Technical material is not unified across the differen,others,governance_and_process,{'others'},{'governance_and_process'},0.0,0.0
ADR_099,# Fork and extend Create React App  ## April 13 2019  ### Context  It would be nice to have `babel-p,others,"technology_choice, governance_and_process",{'others'},"{'governance_and_process', 'technology_choice'}",0.0,0.0
ADR_100,# Email provider  Status: Final  Date: 2020-05-19  Author: Filipe Pinheiro <filipe@yld.io>  Reviewed,technology_choice,technology_choice,{'technology_choice'},{'technology_choice'},1.0,1.0
ADR_101,# 10. Use aws amplify and coginito for login and the Identity Provider  Date: 2019-03-02  ## Status ,technology_choice,"security, technology_choice",{'technology_choice'},"{'technology_choice', 'security'}",0.5,1.0
ADR_102,# 3. Use Bitrise for CI  Date: 2019-06-04  ## Status  Accepted  ## Context  We need an easy way to i,"technology_choice, infrastructure_and_deployment",infrastructure_and_deployment,"{'technology_choice', 'infrastructure_and_deployment'}",{'infrastructure_and_deployment'},0.5,0.5
ADR_103,# 2. Use NextJS  Date: 2020-09-03  ## Status  Superceded by [14. Migrate to SvelteKit](0014-migrate-,technology_choice,"technology_choice, architecture_patterns",{'technology_choice'},"{'architecture_patterns', 'technology_choice'}",0.5,1.0
ADR_104,# Primary purpose of the reference implementation  * Status: accepted * Date: 2021-08-25  ## Context,governance_and_process,"api_and_contracts, governance_and_process",{'governance_and_process'},"{'governance_and_process', 'api_and_contracts'}",0.5,1.0
ADR_105,# 7. Image Loading with Glide  Date: 2019-12-17  ## Status  Accepted  ## Context  In the android lin,technology_choice,"technology_choice, performance_and_scalability",{'technology_choice'},"{'performance_and_scalability', 'technology_choice'}",0.5,1.0
ADR_106,# 2. Ansible for provisioning tool  Date: 2017-11-04  ## Status  Accepted  ## Context  We need a too,technology_choice,"infrastructure_and_deployment, technology_choice",{'technology_choice'},"{'technology_choice', 'infrastructure_and_deployment'}",0.5,1.0
ADR_107,"# 0011 - Pin ""mbtest"" library to v2.5.1  Date: March 26 2021  ## Context  On March 22 2021 it was",testing_strategy,"governance_and_process, testing_strategy",{'testing_strategy'},"{'testing_strategy', 'governance_and_process'}",0.5,1.0
ADR_108,# 10. Terraform Module Strategy  Date: 2021-06-18  ## Status  ✅ Accepted  ## Context  The Modernisat,governance_and_process,"infrastructure_and_deployment, governance_and_process, testing_strategy",{'governance_and_process'},"{'testing_strategy', 'governance_and_process', 'infrastructure_and_deployment'}",0.33,1.0
ADR_109,# 6. feat-add-autoscaling-policy  Date: 2020-02-20  ## Status  Accepted  ## Context  Goal: The platf,"governance_and_process, infrastructure_and_deployment, technology_choice","infrastructure_and_deployment, performance_and_scalability","{'governance_and_process', 'technology_choice', 'infrastructure_and_deployment'}","{'performance_and_scalability', 'infrastructure_and_deployment'}",0.25,0.33
ADR_110,# [short title of solved problem and solution]  * Status: [proposed | rejected | accepted | deprecat,governance_and_process,governance_and_process,{'governance_and_process'},{'governance_and_process'},1.0,1.0
ADR_111,# 8. Use scratch saves as input for conversion to C  Date: 2019-10-20  ## Status  Accepted  Amended ,technology_choice,"api_and_contracts, architecture_patterns",{'technology_choice'},"{'architecture_patterns', 'api_and_contracts'}",0.0,0.0
ADR_112,# 3. Preservation  Date: 2019-04-02  ## Status  Accepted  ## Context  We have agreed that we will pr,governance_and_process,"data_persistence, infrastructure_and_deployment",{'governance_and_process'},"{'data_persistence', 'infrastructure_and_deployment'}",0.0,0.0
ADR_113,# Use RabbitMQ with MQTT plugin as message broker for devices so they can communicate with each othe,technology_choice,"technology_choice, infrastructure_and_deployment, architecture_patterns",{'technology_choice'},"{'architecture_patterns', 'technology_choice', 'infrastructure_and_deployment'}",0.33,1.0
ADR_114,# 1. (Solr)ContentStore Replication  Date: 2019-24-09  ## Status Accepted  ## Context Solr Index Rep,governance_and_process,"data_persistence, infrastructure_and_deployment, architecture_patterns",{'governance_and_process'},"{'architecture_patterns', 'data_persistence', 'infrastructure_and_deployment'}",0.0,0.0
ADR_115,# Pipeline Metrics  ## Status  Proposed  ## Context  To determine the success and health of the pipe,infrastructure_and_deployment,"observability, governance_and_process",{'infrastructure_and_deployment'},"{'observability', 'governance_and_process'}",0.0,0.0
ADR_116,# Context:  The aim of this document is to record how Orphan Mitigation (OM) for service instances a,others,"api_and_contracts, governance_and_process",{'others'},"{'governance_and_process', 'api_and_contracts'}",0.0,0.0
ADR_117,# 3. Follow Twelve Factor methodology  Date: 2018-10-16  ## Status  Accepted  ## Context  Designing ,architectural_patterns,"architecture_patterns, infrastructure_and_deployment, performance_and_scalability",{'architectural_patterns'},"{'architecture_patterns', 'performance_and_scalability', 'infrastructure_and_deployment'}",0.0,0.0
ADR_118,# 8. use-brakeman-for-security-analysis  Date: 2020-04-03  ## Status  ![Accepted](https://img.shield,"security, technology_choice","security, testing_strategy","{'technology_choice', 'security'}","{'testing_strategy', 'security'}",0.33,0.5
ADR_119,# To record decisions as Architectural Decision Records  ## Status: Busy  ## Context  We need to doc,governance_and_process,governance_and_process,{'governance_and_process'},{'governance_and_process'},1.0,1.0
ADR_120,# ADR 25: Drawing Sub-task  Created: January 6 2020 Updated: April 30 2020  ## Context  A drawing,others,"api_and_contracts, architecture_patterns",{'others'},"{'architecture_patterns', 'api_and_contracts'}",0.0,0.0
ADR_121,# 19. Virtual Platform Takes in THWPlatform Type  Date: 2020-10-20  ## Status  Accepted  Caused by [,others,"architecture_patterns, api_and_contracts",{'others'},"{'architecture_patterns', 'api_and_contracts'}",0.0,0.0
ADR_122,# 4. Use `SqlStreamStore`  Date: 2017-09-12  ## Status  Accepted  ## Context  Since we decided to us,technology_choice,"data_persistence, technology_choice",{'technology_choice'},"{'data_persistence', 'technology_choice'}",0.5,1.0
ADR_123,# Decision  Using a simple derivation function for now  # Reason  Have something sufficiently good r,others,governance_and_process,{'others'},{'governance_and_process'},0.0,0.0
